AmbientConditions.AmbientHumidity.U.Actual,AmbientConditions.AmbientTemperature.U.Actual,Machine1.RawMaterialFeederParameter.U.Actual,Machine1.Zone1Temperature.C.Actual,Machine1.Zone2Temperature.C.Actual,Machine1.MaterialPressure.U.Actual,Machine1.MaterialTemperature.U.Actual,Machine2.RawMaterialFeederParameter.U.Actual,Machine2.Zone1Temperature.C.Actual,Machine2.Zone2Temperature.C.Actual,Machine2.MaterialPressure.U.Actual,Machine2.MaterialTemperature.U.Actual,Machine3.RawMaterial.Property1,Machine3.RawMaterial.Property2,Machine3.RawMaterial.Property3,Stage2.Output.Measurement11.U.Actual,Stage2.Output.Measurement12.U.Actual,Stage2.Output.Measurement13.U.Actual,Stage2.Output.Measurement14.U.Actual
16.73,24.09,1254.0,72.0,72.3,424.36,80.9,176.82,68.99,69.07,224.25,76.6,9.02,186,421.16,5.8,2.13,3.47,8.23
15.93,23.53,1292.73,72.0,72.1,418.2,81.1,218.76,69.0,69.09,224.38,77.2,9.86,192,408.97,5.85,2.08,3.53,8.02
14.65,23.53,1266.14,72.0,72.3,415.86,81.9,215.88,69.02,69.09,227.37,77.0,8.83,221,433.18,5.58,2.05,3.43,8.17
14.04,24.16,1251.23,72.0,72.5,407.37,83.3,213.31,68.99,69.08,228.12,77.1,8.83,221,433.18,5.53,2.05,3.61,8.34
16.95,23.86,1256.13,72.1,72.4,432.3,80.9,195.6,69.0,69.06,228.32,75.9,9.02,186,421.16,5.68,2.05,3.33,8.58
16.73,23.93,1262.4,72.1,72.3,422.79,80.9,216.24,68.99,69.06,231.67,76.2,9.02,186,421.16,5.81,2.09,3.49,8.52
13.94,24.43,1267.23,72.0,72.3,427.22,83.7,202.67,69.01,69.1,223.23,77.2,8.83,221,433.18,5.52,2.04,3.82,7.97
13.85,24.0,1256.08,72.0,72.2,371.06,81.7,203.84,68.97,69.08,223.12,77.1,8.83,221,433.18,5.58,2.1,3.86,7.57
13.94,24.43,1067.99,72.0,72.4,422.8,83.6,201.72,68.99,69.06,226.63,77.0,8.83,221,433.18,5.52,2.01,3.83,7.52
14.04,23.93,1261.64,72.0,71.6,364.91,81.3,226.05,68.98,69.08,219.68,76.9,8.83,221,433.18,5.52,2.08,3.86,7.63
